Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Value,Standard Units,pChEMBL Value,Value
CHEMBL364146,,386.25,0,3.89,COC(=O)C1=C(c2ccc(I)cc2)CC2CCC1S2,8700,nM,5.06,8.7
CHEMBL552167,,267.38,0,3.48,CN(C)C[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,0.13,nM,9.89,0.13
CHEMBL1276252,,307.23,0,4.13,CN(C)C1CCC(c2c[nH]c3c(Br)cccc23)C1,1.6,nM,8.8,1.6
CHEMBL1276873,,315.42,0,4.47,N#Cc1ccc2[nH]cc(C3CCC(NCc4ccccc4)C3)c2c1,15,nM,7.82,15
CHEMBL1277229,,341.46,0,4.73,N#Cc1ccc2[nH]cc(C3CCC(N4CCc5ccccc5C4)C3)c2c1,6.5,nM,8.19,6.5
CHEMBL260988,,290.36,0,1.5,CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,480,nM,6.32,480
CHEMBL99946,LEVOMILNACIPRAN,246.35,0,1.77,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,19000,nM,4.72,19
CHEMBL11,IMIPRAMINE,280.42,0,3.88,CN(C)CCCN1c2ccccc2CCc2ccccc21,3.5,nM,8.46,0.0035
CHEMBL184770,,335.46,0,2.94,Cc1cccc(N2CCN(CCc3ccc4[nH]nnc4c3)CC2)c1C,260,nM,6.58,0.26
CHEMBL1762474,,418.9,0,4.39,N#Cc1ccc(Cl)cc1S[C@H](CCN)c1ccccc1.O=C(O)/C=C/C(=O)O,6700,nM,5.17,6.7
CHEMBL1762475,,370.8,0,4.31,CNCC[C@@H](Oc1cc(C(F)(F)F)ccc1C#N)c1ccccc1.Cl,10000,nM,5,10
CHEMBL1400,O-DESMETHYL TRAMADOL,249.35,0,2.33,CN(C)C[C@H]1CCCC[C@]1(O)c1cccc(O)c1,4600,nM,5.34,4600
CHEMBL398965,,276.38,0,3.91,N#Cc1ccc2c(C3CC3CN3CCCC3)cccc2c1,51,nM,7.29,51
CHEMBL399147,,225.34,0,3.5,CN(C)CC1CC1c1cccc2ccccc12,170,nM,6.77,170
CHEMBL3917604,,183.68,0,2.62,CC(N)CCc1ccccc1Cl,35850,nM,4.45,35850
CHEMBL1276166,,246.33,0,3.5,CN(C)C1CCC(c2c[nH]c3ccc(F)cc23)C1,1.7,nM,8.77,1.7
CHEMBL173344,,283.42,0,3.92,C=C(C)c1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,0.16,nM,9.8,0.16
CHEMBL376899,,259.35,0,2.43,COC(=O)[C@@H]1C2CCC(C[C@H]1c1ccccc1)N2C,5700,nM,5.24,5700
CHEMBL311347,,385.25,0,3.03,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,4.21,nM,8.38,4.21
CHEMBL43048,MIDOMAFETAMINE,193.25,0,1.57,CNC(C)Cc1ccc2c(c1)OCO2,425,nM,6.37,425
CHEMBL117362,Rhenium complex,694.87,None,None,,4000,nM,5.4,4000
CHEMBL196468,,239.32,0,2.7,CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(C#N)cc12,0.48,nM,9.32,0.48
CHEMBL1276117,,246.33,0,3.5,CN(C)C1CCC(c2c[nH]c3cccc(F)c23)C1,31,nM,7.51,31
CHEMBL1276249,,307.23,0,4.13,CN(C)C1CCC(c2c[nH]c3cc(Br)ccc23)C1,9.6,nM,8.02,9.6
CHEMBL1277050,,293.41,0,4.16,N#Cc1ccc2[nH]cc(C3CCC(N4CCCCC4)C3)c2c1,65,nM,7.19,65
CHEMBL1277137,,295.39,0,3.01,N#Cc1ccc2[nH]cc(C3CCC(N4CCOCC4)C3)c2c1,110,nM,6.96,110
CHEMBL1275707,,274.38,0,4.28,CCN(CC)C1CCC(c2c[nH]c3ccc(F)cc23)C1,7.3,nM,8.14,7.3
CHEMBL1275708,,272.37,0,4.04,Fc1ccc2[nH]cc(C3CCC(N4CCCC4)C3)c2c1,2.9,nM,8.54,2.9
CHEMBL1275709,,253.35,0,3.24,CN(C)[C@@H]1CC[C@H](c2c[nH]c3ccc(C#N)cc23)C1,0.22,nM,9.66,0.22
CHEMBL2096878,,321.46,0,4.74,COc1ccc([C@H]2C3CCC(C[C@H]2c2ccc(C)cc2)N3C)cc1,1530,nM,5.82,1530
CHEMBL2204342,,293.48,None,None,COc1ccc([C@@H](CN(C)C)[Si]2(O)CCCCC2)cc1,791,nM,6.1,0.791
CHEMBL427215,,293.48,None,None,COc1ccc([C@H](CN(C)C)[Si]2(O)CCCCC2)cc1,3168,nM,5.5,3.168
CHEMBL6055620,,218.08,0,2.34,Clc1ccc(OC2CNC2)cc1Cl,1300,nM,5.89,1300
CHEMBL379755,,440.63,1,5.65,CN1C2CCC1C1COC(=O)CCCCCCCCCCC(=O)Nc3ccc(cc3)C1C2,1200,nM,5.92,1200
CHEMBL1215695,,378.29,0,4.7,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(Br)ccc21,120,nM,6.92,120
CHEMBL300226,,385.25,0,3.03,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,2.53,nM,8.6,2.53
CHEMBL450714,,273.4,0,4.26,CSc1ccc(Oc2ccccc2CN(C)C)cc1,1,nM,9,1
CHEMBL488242,,247.72,0,3.85,CNCc1ccccc1Oc1ccc(Cl)cc1,13.9,nM,7.86,13.9
CHEMBL488434,,265.71,0,3.99,CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,9.47,nM,8.02,9.47
CHEMBL451137,,361.07,1,5.27,CNCc1ccc(Br)cc1Oc1ccc(Cl)c(Cl)c1,5.1,nM,8.29,5.1
CHEMBL488435,,361.07,1,5.27,CNCc1cc(Br)ccc1Oc1ccc(Cl)c(Cl)c1,4.8,nM,8.32,4.8
CHEMBL451076,,307.18,0,4.38,CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,2.5,nM,8.6,2.5
CHEMBL455425,,310.22,1,5.12,CNCc1cc(C)c(C)cc1Oc1ccc(Cl)c(Cl)c1,8.9,nM,8.05,8.9
CHEMBL455426,,325.2,0,3.6,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)c(Cl)c1,3.78,nM,8.42,3.78
CHEMBL475121,,275.78,0,4.47,CNCc1ccc(Cl)cc1Oc1ccc(C)c(C)c1,4.67,nM,8.33,4.67
CHEMBL462225,,275.78,0,4.47,CNCc1cc(Cl)ccc1Oc1ccc(C)c(C)c1,9.81,nM,8.01,9.81
CHEMBL443922,,296.2,0,4.85,CN(C)Cc1ccccc1Oc1ccc(Cl)c(Cl)c1,0.35,nM,9.46,0.35
CHEMBL257423,,261.75,0,4.19,CN(C)Cc1ccccc1Oc1ccc(Cl)cc1,1.68,nM,8.78,1.68
CHEMBL487053,,310.22,1,5.41,CC(c1ccccc1Oc1ccc(Cl)c(Cl)c1)N(C)C,3.27,nM,8.48,3.27
CHEMBL488021,,259.32,0,3.95,CNCc1cc(F)ccc1Oc1ccc(C)c(C)c1,7.55,nM,8.12,7.55
CHEMBL488241,,241.33,0,3.82,CNCc1ccccc1Oc1ccc(C)c(C)c1,12.8,nM,7.89,12.8
CHEMBL508192,,241.33,0,4.07,CNC(C)c1ccccc1Oc1ccc(C)cc1,94.1,nM,7.03,94.1
CHEMBL488437,,314.19,1,5.21,CNC(C)c1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1,8.09,nM,8.09,8.09
CHEMBL455511,,310.22,1,5.16,Cc1ccc(Oc2ccc(Cl)c(Cl)c2)c(CN(C)C)c1,2.36,nM,8.63,2.36
CHEMBL455675,,334.6,1,5.3,CNCc1cc(F)c(Cl)cc1Oc1ccc(Cl)c(Cl)c1,4.37,nM,8.36,4.37
CHEMBL442923,,283.7,0,4.13,CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,37.5,nM,7.43,37.5
CHEMBL505091,,316.62,1,5.16,CNCc1cc(Cl)ccc1Oc1ccc(Cl)c(Cl)c1,5.73,nM,8.24,5.73
CHEMBL452091,,296.2,0,4.81,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(C)c1,4.27,nM,8.37,4.27
CHEMBL445754,,300.16,0,4.64,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(F)c1,88,nM,7.06,88
CHEMBL486278,,385.46,0,2.22,COc1ccc(CC(C)(C)NC[C@H](O)COc2cccc3[nH]c(=O)[nH]c23)cc1,61,nM,7.21,0.061
CHEMBL401417,,275.36,0,3.25,CN(C)CC1CC1c1ccc2cc(C#N)c(C#N)cc2c1,5.9,nM,8.23,5.9
CHEMBL403949,,288.39,0,1.71,CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,2100,nM,5.68,2100
CHEMBL359447,,483.57,0,4.73,Cc1nnc(-c2ccc(-c3ccc(C(=O)Nc4ccc(O)c(N5CCN(C)CC5)c4)cc3)c(C)c2)o1,4700,nM,5.33,4700
CHEMBL326165,N-[(2-((3'-N-propyl-(1''R) -3''beta-(4-fluorophenyl) tropane-2''-beta-1-propanoyl) (2-mercaptoethyl) amino) acetyl) -2-aminoethanethiolato)rhenium(V) oxide,694.91,None,None,,10000,nM,5,10000
CHEMBL150050,,420.48,0,4.71,COc1cccc2c1O[C@@H](CN1C3C=C(n4ccc5cc(F)ccc54)CC1CC3)CO2,138,nM,6.86,138
CHEMBL488911,,311.21,0,4.43,CN(C)Cc1cc(N)ccc1Oc1ccc(Cl)c(Cl)c1,4.99,nM,8.3,4.99
CHEMBL119561,O-1186,696.88,None,None,,80,nM,7.1,80
CHEMBL382955,,305.42,0,3.79,CN1C2CCC1CC(O)(C1c3ccccc3-c3ccccc31)C2,35400,nM,4.45,35400
CHEMBL1276960,,329.45,0,4.51,N#Cc1ccc2[nH]cc(C3CCC(NCCc4ccccc4)C3)c2c1,10,nM,8,10
CHEMBL15928,GR-127935,497.6,1,5.03,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,1000,nM,6,1000
CHEMBL1683885,,237.77,0,3.76,CNCC1(c2ccc(Cl)cc2)CCCCC1,1870,nM,5.73,1870
CHEMBL71,CHLORPROMAZINE,318.87,0,4.89,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,120,nM,6.92,0.12
CHEMBL3696475,MK-7145,466.53,0,2.03,Cc1c([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ccc2c1COC2=O,120,nM,6.92,0.12
CHEMBL1683891,,253.34,0,3.73,CN(C)CC1(c2ccc(F)c(F)c2)CCCCC1,57,nM,7.24,57
CHEMBL374712,,293.79,0,3.08,COC(=O)[C@H]1[C@H]2CCC(C[C@H]1c1ccc(Cl)cc1)N2C,1800,nM,5.75,1800
CHEMBL222705,,277.34,0,2.57,COC(=O)[C@@H]1C2CCC(C[C@H]1c1ccc(F)cc1)N2C,5060,nM,5.3,5060
CHEMBL426659,,293.41,0,3.8,CN1C2CCC1CC(O)(c1cccc(-c3ccccc3)c1)C2,3770,nM,5.42,3770
CHEMBL194372,,373.41,0,3.38,CN[C@@H](CCOc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)N(C)C)cc1,42,nM,7.38,42
CHEMBL381046,,275.4,0,4.6,CN1C2C=C(c3ccccc3-c3ccccc3)CC1CC2,1710,nM,5.77,1710
CHEMBL201223,,287.41,0,4.59,CN1C2C=C(C3c4ccccc4-c4ccccc43)CC1CC2,690,nM,6.16,690
CHEMBL379021,,272.44,0,2.63,[2H]C([2H])([2H])Oc1cccc([C@@]2(O)CCCC[C@@H]2CN(C([2H])([2H])[2H])C([2H])([2H])[2H])c1,1100,nM,5.96,1100
CHEMBL607377,,401.45,0,4.1,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,4087,nM,5.39,4087
CHEMBL1683870,,272.22,0,4.41,CNCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,169,nM,6.77,169
CHEMBL1683898,,253.39,0,4.26,CNCC1(c2cccc3ccccc23)CCCCC1,1079,nM,5.97,1079
CHEMBL1683876,,314.3,1,5.54,CCN(CC)CC1(c2ccc(Cl)c(Cl)c2)CCCCC1,2240,nM,5.65,2240
CHEMBL184252,,488.41,1,5.99,O=C1O[C@]2(CC[C@@H](N3CCC(Cc4cc(Cl)ccc4Cl)CC3)CC2)c2ccc3c(c21)OCO3,92,nM,7.04,92
CHEMBL119561,O-1186,696.88,None,None,,299,nM,6.52,299
CHEMBL326165,N-[(2-((3'-N-propyl-(1''R) -3''beta-(4-fluorophenyl) tropane-2''-beta-1-propanoyl) (2-mercaptoethyl) amino) acetyl) -2-aminoethanethiolato)rhenium(V) oxide,694.91,None,None,,497,nM,6.3,497
CHEMBL256557,,328.41,0,1.87,C=CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,32,nM,7.5,32
CHEMBL257335,,320.36,0,1.62,C=C(F)CN(C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,100,nM,7,100
CHEMBL411655,,352.39,0,2.06,NC[C@@H]1C[C@@]1(C(=O)N1CCOc2ccccc21)c1ccc2c(c1)OCO2,320,nM,6.5,320
CHEMBL404013,,312.41,0,2.04,C=CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,270,nM,6.57,270
CHEMBL258180,,300.4,0,1.87,C=CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,430,nM,6.37,430
CHEMBL99946,LEVOMILNACIPRAN,246.35,0,1.77,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,320,nM,6.5,320
CHEMBL405462,,260.38,0,2.16,CCN(CC)C(=O)C1(c2ccccc2)CC1(C)CN,6900,nM,5.16,6900
CHEMBL641,ATOMOXETINE,255.36,0,3.72,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,190,nM,6.72,190
CHEMBL180630,,227.31,0,2.53,CN(C)CCCc1c[nH]c2ccc(C#N)cc12,2,nM,8.7,2
CHEMBL1275669,,267.38,0,3.68,CCCNC1CCC(c2c[nH]c3ccc(C#N)cc23)C1,30,nM,7.52,30
CHEMBL1277048,,343.47,0,4.85,CN(CCc1ccccc1)C1CCC(c2c[nH]c3ccc(C#N)cc23)C1,6.2,nM,8.21,6.2
CHEMBL1275729,,253.35,0,3.24,CN(C)[C@H]1CC[C@H](c2c[nH]c3ccc(C#N)cc23)C1,0.97,nM,9.01,0.97
CHEMBL2012116,,328.43,0,4.24,COC(=O)[C@H]1C2CCC(C[C@H]1c1ccc(-c3ccccc3)s1)O2,78,nM,7.11,78
CHEMBL488260,,350.17,1,5.52,CNCc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,29.6,nM,7.53,29.6
CHEMBL444203,,279.74,0,4.55,CNC(C)c1cc(F)ccc1Oc1ccc(Cl)cc1,34.8,nM,7.46,34.8
CHEMBL507884,,350.17,1,5.52,CNCc1cc(C(F)(F)F)ccc1Oc1ccc(Cl)c(Cl)c1,21.8,nM,7.66,21.8
CHEMBL453630,,364.19,1,6.08,CNC(C)c1cc(C(F)(F)F)ccc1Oc1ccc(Cl)c(Cl)c1,61.2,nM,7.21,61.2
CHEMBL461631,,275.78,0,4.72,CNC(C)c1ccc(Cl)cc1Oc1ccc(C)cc1,187,nM,6.73,187
CHEMBL1276224,,262.78,0,4.02,CN(C)C1CCC(c2c[nH]c3ccc(Cl)cc23)C1,3,nM,8.52,3
CHEMBL1276227,,262.78,0,4.02,CN(C)C1CCC(c2c[nH]c3cc(Cl)ccc23)C1,6.5,nM,8.19,6.5
CHEMBL1276250,,246.33,0,3.5,CN(C)C1CCC(c2c[nH]c3c(F)cccc23)C1,3.3,nM,8.48,3.3
CHEMBL1276298,,239.32,0,2.9,CNC1CCC(c2c[nH]c3ccc(C#N)cc23)C1,8.5,nM,8.07,8.5
CHEMBL1276299,,253.35,0,3.29,CCNC1CCC(c2c[nH]c3ccc(C#N)cc23)C1,6.6,nM,8.18,6.6
CHEMBL1276961,,281.4,0,4.02,CCN(CC)C1CCC(c2c[nH]c3ccc(C#N)cc23)C1,6.2,nM,8.21,6.2
CHEMBL1275794,,246.33,0,3.5,CN(C)[C@@H]1CC[C@@H](c2c[nH]c3ccc(F)cc23)C1,2.8,nM,8.55,2.8
CHEMBL2096874,,277.41,0,4.42,CN1C2CCC1[C@H](c1ccccc1)[C@H](c1ccccc1)C2,41000,nM,4.39,41000
CHEMBL3818959,,308.85,0,2.99,Cc1cccc(CN(C2CCOCC2)C2CCNC2)c1Cl,5,nM,8.3,5
CHEMBL1683875,,300.27,1,5.15,CCN(C)CC1(c2ccc(Cl)c(Cl)c2)CCCCC1,156,nM,6.81,156
CHEMBL1683872,,286.25,0,4.8,CCNCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,158,nM,6.8,158
CHEMBL1683893,,235.35,0,3.59,CN(C)CC1(c2cccc(F)c2)CCCCC1,224,nM,6.65,224
CHEMBL1683903,,265.4,0,4.51,NCC1(c2ccc(-c3ccccc3)cc2)CCCCC1,855,nM,6.07,855
CHEMBL1683877,,312.28,1,5.29,Clc1ccc(C2(CN3CCCC3)CCCCC2)cc1Cl,8571,nM,5.07,8571
CHEMBL11,IMIPRAMINE,280.42,0,3.88,CN(C)CCCN1c2ccccc2CCc2ccccc21,2,nM,8.7,2
CHEMBL119561,O-1186,696.88,None,None,,67,nM,7.17,67
CHEMBL5271116,,315.2,0,3.82,COC(=O)[C@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1O2,4.67,nM,8.33,4.67
CHEMBL1643509,,293.2,0,4.54,NC1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,650,nM,6.19,650
CHEMBL1683892,,239.31,0,3.39,CNCC1(c2ccc(F)c(F)c2)CCCCC1,2723,nM,5.57,2723
CHEMBL1683879,,328.28,0,4.53,Clc1ccc(C2(CN3CCOCC3)CCCCC2)cc1Cl,7932,nM,5.1,7932
CHEMBL1643896,,424.33,0,3.48,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)N1CCCC1)[C@@H](c1ccc(I)cc1)C2,991,nM,6,991
CHEMBL256646,,308.43,0,2.95,CCN(Cc1ccccc1)C(=O)C1(c2ccccc2)CC1CN,160,nM,6.8,160
CHEMBL272744,,274.41,0,2.42,CCNCC1CC1(C(=O)N(CC)CC)c1ccccc1,1300,nM,5.89,1300
CHEMBL249951,,225.34,0,3.5,CN(C)CC1CC1c1ccc2ccccc2c1,8.6,nM,8.07,8.6
CHEMBL249121,,250.34,0,3.42,CCNCC1CC1c1cccc2cc(C#N)ccc12,37,nM,7.43,37
CHEMBL196468,,239.32,0,2.7,CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(C#N)cc12,0.48,nM,9.32,0.48
CHEMBL180630,,227.31,0,2.53,CN(C)CCCc1c[nH]c2ccc(C#N)cc12,2,nM,8.7,2
CHEMBL2012107,,328.43,0,4.24,COC(=O)[C@@H]1C2CCC(C[C@H]1c1cccc(-c3cccs3)c1)O2,287,nM,6.54,287
CHEMBL343369,Rhenium complex,764.77,None,None,,71.8,nM,7.14,71.8
CHEMBL361836,,481.56,0,4.87,COc1ccc(F)c(CC2CCN([C@H]3CC[C@]4(CC3)OC(=O)c3c5c(ccc34)OCCO5)CC2)c1,430,nM,6.37,430
CHEMBL363507,,437.51,0,4.82,O=C1O[C@]2(CC[C@@H](N3CCC(Cc4ccccc4F)CC3)CC2)c2ccc3c(c21)OCO3,410,nM,6.39,410
